LncRNA ID	Logfold	URWScore	pvalue	FDR	Rank(Logfold)	Rank(URWScore)
ENSG00000226598	4.43006048055256	0.383429692476739	0.0741463414634146	0.207272727272727	240	220
ENSG00000253348	-3.48422761212199	0.382883219407014	0.0760975609756098	0.211764705882353	328	221
ENSG00000223485	5.63628020333146	0.382129084715537	0.0767479674796748	0.2125	156	222
ENSG00000264527	5.33922920515473	0.381989407841549	0.0773983739837398	0.2125	179	223
ENSG00000256943	5.22573861557199	0.381687988234818	0.0773983739837398	0.2125	182	224
ENSG00000248174	5.66266157305824	0.381267033503316	0.0780487804878049	0.213333333333333	154	225
ENSG00000238837	-2.24898911343643	0.380314781125615	0.0790243902439024	0.215044247787611	464	226
ENSG00000230479	3.57617284224148	0.380092416378212	0.08	0.216666666666667	320	227
ENSG00000257938	4.38850669983619	0.380069432437301	0.0803252032520325	0.216666666666667	243	228
ENSG00000232335	2.8966122934898	0.379417769332752	0.0816260162601626	0.219213973799127	386	229
ENSG00000249916	4.08823427049783	0.3787220406476	0.0832520325203252	0.221097046413502	268	230
ENSG00000227094	5.43953478073647	0.378468439700047	0.0839024390243902	0.221097046413502	172	231
ENSG00000234584	3.49144930906053	0.37821007974161	0.0839024390243902	0.221097046413502	326	232
ENSG00000235897	3.76571239950655	0.377849245232878	0.0839024390243902	0.221097046413502	306	233
ENSG00000237568	3.16969145051465	0.377460723615889	0.0852032520325203	0.221097046413502	354	234
ENSG00000259847	5.92602065130728	0.377405626795503	0.0852032520325203	0.221097046413502	148	235
ENSG00000237424	3.69937014136784	0.377369321637214	0.0852032520325203	0.221097046413502	312	236
ENSG00000230533	5.57120809212153	0.377325959717451	0.0852032520325203	0.221097046413502	161	237
ENSG00000256969	-4.87750020952046	0.376583313802404	0.0878048780487805	0.226890756302521	201	238
ENSG00000233529	-5.46833853250267	0.376255683271522	0.0884552845528455	0.227615062761506	167	239
ENSG00000227145	2.79481519983079	0.375857139871137	0.0897560975609756	0.23	400	240
ENSG00000240498	3.20743278102336	0.375107821941665	0.0920325203252032	0.234677419354839	349	241
ENSG00000225243	-3.96448035991568	0.374373393482687	0.0936585365853659	0.234677419354839	282	242
ENSG00000254486	4.76457756789144	0.37430671316895	0.0936585365853659	0.234677419354839	210	243
ENSG00000249835	3.29614232117632	0.373983122333316	0.0943089430894309	0.234677419354839	339	244
ENSG00000263082	5.6282253808491	0.373892969037926	0.0943089430894309	0.234677419354839	157	245
ENSG00000265992	4.00947135429856	0.373786205438959	0.0943089430894309	0.234677419354839	277	246
ENSG00000223760	3.88521866419338	0.373732180094535	0.0943089430894309	0.234677419354839	295	247
ENSG00000205562	2.86963064012504	0.373524577977197	0.0946341463414634	0.234677419354839	389	248
ENSG00000260757	5.65328552243499	0.373123589283255	0.0959349593495935	0.235714285714286	155	249
ENSG00000260162	5.47237748562783	0.372793099458168	0.096260162601626	0.235714285714286	166	250
